d4_f100 - Dämpfung: 4, Motorfreq.: 100
Zeit (ms)	Ausschlag Rad (Grad)	Null Exzenter
172359,4	5,25	0
172375,0	5,25	0
172390,6	4,50	0
172406,2	4,50	0
172421,9	4,50	0
172437,5	4,50	0
172453,1	3,75	0
172468,8	3,75	0
172484,4	3,75	0
172500,0	3,75	0
172515,6	3,75	0
172531,2	3,00	0
172546,9	3,00	0
172562,5	3,00	0
172578,1	3,00	0
172593,8	2,25	0
172609,4	2,25	0
172625,0	2,25	0
172640,6	2,25	0
172656,2	1,50	0
172671,9	1,50	0
172687,5	1,50	0
172703,1	1,50	0
172718,8	0,75	0
172734,4	0,75	0
172750,0	0,00	0
172765,6	0,00	0
172796,9	-0,75	0
172812,5	-0,75	0
172828,1	-0,75	0
172843,8	-0,75	0
172859,4	-1,50	0
172875,0	-1,50	0
172890,6	-1,50	0
172906,2	-1,50	0
172921,9	-2,25	0
172937,5	-2,25	0
172953,1	-2,25	0
172968,8	-2,25	0
172984,4	-2,25	0
173000,0	-3,00	0
173015,6	-3,00	0
173031,2	-3,00	0
173046,9	-3,00	0
173062,5	-3,75	0
173078,1	-3,75	0
173093,8	-3,75	0
173109,4	-3,75	0
173125,0	-3,75	0
173140,6	-4,50	0
173156,2	-4,50	0
173171,9	-4,50	0
173187,5	-4,50	0
173203,1	-4,50	0
173218,8	-5,25	0
173234,4	-5,25	0
173250,0	-5,25	0
173265,6	-5,25	0
173281,2	-5,25	0
173296,9	-6,00	0
173312,5	-6,00	0
173328,1	-6,00	0
173343,8	-6,00	0
173359,4	-6,00	0
173375,0	-6,75	0
173390,6	-6,75	0
173406,2	-6,75	0
173421,9	-6,75	0
173437,5	-6,75	0
173453,1	-6,75	0
173468,8	-6,75	0
173484,4	-7,50	0
173500,0	-7,50	0
173515,6	-7,50	0
173531,2	-7,50	0
173546,9	-7,50	0
173562,5	-7,50	0
173578,1	-8,25	0
173593,8	-8,25	0
173609,4	-8,25	0
173625,0	-8,25	0
173640,6	-8,25	0
173656,2	-8,25	0
173671,9	-8,25	0
173687,5	-8,25	0
173703,1	-9,00	0
173718,8	-9,00	0
173734,4	-9,00	0
173750,0	-9,00	0
173765,6	-9,00	0
173781,2	-9,00	0
173796,9	-9,00	0
173812,5	-9,00	0
173828,1	-9,00	0
173843,8	-9,00	0
173859,4	-9,75	0
173875,0	-9,75	0
173890,6	-9,75	0
173906,2	-9,75	0
173921,9	-9,75	0
173937,5	-9,75	0
173953,1	-9,75	0
173968,8	-9,75	0
173984,4	-9,75	0
174000,0	-9,75	0
174015,6	-9,75	0
174031,2	-9,75	0
174046,9	-9,75	0
174062,5	-9,75	0
174078,1	-9,75	0
174093,8	-9,75	0
174109,4	-10,50	0
174125,0	-10,50	0
174140,6	-10,50	0
174156,2	-10,50	0
174171,9	-10,50	0
174187,5	-10,50	0
174203,1	-10,50	0
174218,8	-10,50	0
174234,4	-10,50	0
174250,0	-10,50	0
174265,6	-10,50	0
174281,2	-10,50	0
174296,9	-10,50	0
174312,5	-10,50	0
174328,1	-10,50	0
174343,8	-10,50	0
174359,4	-10,50	0
174375,0	-10,50	0
174390,6	-10,50	0
174406,2	-10,50	0
174421,9	-10,50	0
174437,5	-10,50	0
174453,1	-10,50	0
174468,8	-10,50	0
174484,4	-10,50	0
174500,0	-10,50	0
174515,6	-10,50	0
174531,2	-10,50	0
174546,9	-10,50	0
174562,5	-10,50	0
174578,1	-10,50	0
174593,8	-10,50	0
174609,4	-10,50	0
174625,0	-10,50	0
174640,6	-10,50	0
174656,2	-10,50	0
174671,9	-10,50	0
174687,5	-10,50	0
174703,1	-10,50	0
174718,8	-10,50	0
174734,4	-10,50	0
174750,0	-10,50	0
174765,6	-10,50	0
174781,2	-10,50	0
174796,9	-10,50	0
174812,5	-9,75	0
174828,1	-9,75	0
174843,8	-9,75	0
174859,4	-9,75	0
