0	0				
0.1	0.005				
0.2	0.01				
0.3	0.017				
0.4	0.025				
0.5	0.036				
0.6	0.047				
0.7	0.06				
0.8	0.075				
0.9	0.092				
1	0.111				
1.1	0.131				
1.2	0.153				
1.3	0.176				
1.4	0.202				
1.5	0.229				
1.6	0.258				
1.7	0.288				
1.8	0.319				
1.9	0.353				
2	0.389				
2.1	0.426				
2.2	0.465				
2.3	0.506				
2.4	0.548				
2.5	0.592				
2.6	0.638				
2.7	0.686				
2.8	0.736				
2.9	0.788				
3	0.84				
3.1	0.895				
3.2	0.952				
3.3	1.01				
3.4	1.071				
3.5	1.148				
3.6	1.257				
